职位,公司名称,工作地点,薪资,发布时间
Python高级开发工程师（爬虫）,深圳市菲凡数据科技有限公司,深圳-福田区,2-3万/月,03-17
开发工程师（爬虫方向）,植美村,广州-天河区,1-1.5万/月,03-17
爬虫工程师,中软国际科技服务有限公司,北京-海淀区,1-1.5万/月,03-17
数据爬虫工程师,稳健医疗用品股份有限公司,深圳,1.5-2万/月,03-17
python爬虫工程师,深圳筑龙信息技术有限责任公司,深圳-福田区,0.8-1.5万/月,03-17
爬虫开发工程师（会java）,成都迈思信息技术有限公司,深圳,1-1.5万/月,03-17
Python爬虫工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1-1.5万/月,03-17
Python爬虫工程师,广州特道信息科技有限公司,广州,6.5-8千/月,03-17
Java爬虫开发工程师,上海冠勇信息科技有限公司,上海-闵行区,1-2万/月,03-17
初级爬虫工程师,杭州深绘智能科技有限公司,成都-双流区,1-1.5万/月,03-17
爬虫开发工程师,天宇正清科技有限公司,北京-石景山区,1.5-2.5万/月,03-17
爬虫专家,上海天洪信息技术有限公司,上海-闵行区,2.5-3万/月,03-17
软件开发工程师（网络爬虫方向）(J10619),中移（苏州）软件技术有限公司,苏州-高新区,2-2.5万/月,03-17
链家/贝壳业务数据分析/数据运营专员/政策研究/爬虫,广州市链家房地产代理有限公司,广州-越秀区,6-8千/月,03-17
python爬虫工程师,雷特网络科技有限公司,深圳-龙华新区,1.5-3万/月,03-17
业务爬虫工程师(TP0001),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,,03-17
Java爬虫工程师,四川省伍泰建设有限公司,成都-武侯区,4-8千/月,03-17
爬虫工程师,苏州隆力奇创客联盟贸易有限公司,苏州-工业园区,0.8-1.5万/月,03-17
Python爬虫开发工程师,广州金科企业征信有限公司,广州-天河区,0.6-1万/月,03-17
python爬虫数据开发工程师,营软数据（厦门）医药有限公司,厦门,0.8-1.5万/月,03-17
网络爬虫高级工程师,厦门市直播吧信息技术有限公司,厦门,1-1.5万/月,03-17
爬虫开发工程师,广州时易中信息科技有限公司,广州-荔湾区,0.8-1万/月,03-17
爬虫开发工程师,上海欧锐信息咨询有限公司,上海-杨浦区,1-1.5万/月,03-17
Python爬虫开发工程师,深圳市光逸科技创新有限公司,深圳-福田区,1.8-2.3万/月,03-17
爬虫开发工程师（国外网站）,广州首创服饰有限公司,广州-海珠区,1-1.5万/月,03-17
爬虫工程师,奇虎360科技有限公司,北京,2.5-3万/月,03-17
python爬虫工程师,智线云科技（北京）有限公司武汉分公司,武汉-洪山区,0.8-1.5万/月,03-17
网络爬虫工程师,安徽博约信息科技股份有限公司,合肥-高新区,6-8.9千/月,03-17
爬虫开发工程师,凌旭科技,苏州-工业园区,0.8-1万/月,03-17
爬虫开发工程师,深圳市诺维尔科技互联网有限公司,深圳-福田区,1-1.5万/月,03-17
中级爬虫,北京友聚四海网络科技有限公司,北京-朝阳区,2.5-3万/月,03-17
python程序员(分布式爬虫开发),斯氏(杭州)新媒体科技有限公司,杭州-上城区,1-2.5万/月,03-17
Python开发工程师/前端/爬虫,深圳市宇达计算机有限公司,深圳-南山区,4.5-6千/月,03-17
易盾-爬虫工程师,网易集团,杭州,4-5万/月,03-17
python爬虫工程师,中赢智数（广东）科技有限公司,广州-南沙区,5-7千/月,03-17
Python爬虫工程师,成都健数科技有限公司,成都-高新区,6-8千/月,03-17
爬虫开发工程师,西安先驱电子科技有限公司,西安,4.5-6千/月,03-17
大数据爬虫工程师,广州市景心科技股份有限公司,广州,1-1.5万/月,03-17
中级爬虫,北京三六九数动科技有限公司,北京-朝阳区,1-1.5万/月,03-17
python爬虫开发工程师,深圳万拓科技创新有限公司,深圳-南山区,1-1.5万/月,03-17
爬虫开发工程师,广州淘通科技股份有限公司,广州-天河区,1-1.5万/月,03-17
爬虫开发工程师,厦门蒙友互联软件有限公司,厦门,0.6-1万/月,03-17
Python 爬虫工程师（薪智）,上海易路软件有限公司,上海-闵行区,1.5-2万/月,03-17
爬虫开发工程师（Java）,广州数说故事信息科技有限公司,广州-天河区,1.6-2万/月,03-17
高级爬虫工程师,深圳中泓在线股份有限公司,深圳,1.5-2.5万/月,03-17
15K+中高级爬虫工程师+双休五险,长沙紫檀数据科技有限公司,长沙-岳麓区,1-1.5万/月,03-17
爬虫工程师,上海掌越科技有限公司,上海,2-2.5万/月,03-17
Java开发实习生（往爬虫方向）,广州比地数据科技有限公司,广州-天河区,1.5-2千/月,03-17
中高级爬虫工程师,成都品宏源创科技有限公司,深圳-南山区,2.5-3万/月,03-17
爬虫/大数据实习生,静瞳海外投资顾问（深圳）有限公司,深圳-福田区,4.5-6千/月,03-17
爬虫开发工程师,山西八建集团有限公司广东分公司,广州-番禺区,4.5-8千/月,03-17
爬虫开发工程师(R10112),苏州贝尔塔数据技术有限公司,苏州-工业园区,1-1.5万/月,03-17
爬虫开发工程师,躺平设计家（上海）科技有限公司,上海-浦东新区,2-5万/月,03-17
Python爬虫工程师,福韵数据服务有限公司,长沙-雨花区,0.8-1万/月,03-17
爬虫大数据挖掘分析工程师,超级播（上海）文化传媒有限公司,上海,1.5-3万/月,03-17
Python爬虫工程师,集商网络科技（上海）有限公司,上海,1-1.5万/月,03-17
爬虫开发工程师,深圳市时光轴科技有限公司,深圳-龙岗区,0.8-1.4万/月,03-17
爬虫开发工程师,广州久邦世纪科技有限公司,广州-越秀区,1.2-2万/月,03-17
爬虫工程师,广州创优新品科技有限公司,广州-天河区,1.5-2万/月,03-17
爬虫开发工程师,广州寄锦教育科技有限公司,广州-天河区,1-1.5万/月,03-17
高级爬虫工程师 (MJ000129),虎扑,上海-虹口区,2-3万/月,03-17
JAVA爬虫工程师,深圳市泽宝创新技术有限公司,深圳-龙岗区,1.1-1.8万/月,03-17
爬虫开发工程师,大连半岛天空商旅服务有限公司,大连-高新园区,1-1.5万/月,03-17
Python爬虫工程师,深圳市恒扬数据股份有限公司,深圳,1-2万/月,03-17
Python爬虫工程师,创业伞投资有限公司,上海-杨浦区,1-1.5万/月,03-17
爬虫程序员（数据统计）,泉州皇尚贸易有限公司,泉州,4.5-6千/月,03-17
爬虫工程师（python）,重庆大司空信息科技有限公司,重庆-渝北区,0.6-1.2万/月,03-17
高级爬虫工程师,深圳市英驰贸易科技有限公司,深圳-龙华新区,1.3-1.8万/月,03-17
高级爬虫工程师,广州市誉能信息科技有限公司,广州-番禺区,1.3-2万/月,03-17
Java开发工程（爬虫方向）,大参林医药集团股份有限公司,广州,0.8-1万/月,03-17
Python数据抓取爬虫抓取,深圳市茂邑通信息科技有限公司,苏州,6-8千/月,03-17
爬虫技术工程师,美途天下（深圳）控股有限公司,深圳-南山区,1.3-2万/月,03-17
爬虫工程师,杭州腾展科技股份有限公司,杭州-西湖区,1.2-2.5万/月,03-17
爬虫开发工程师,广东博士科技有限公司,广州-黄埔区,6-8千/月,03-17
爬虫开发工程师,海南太美航空股份有限公司,海南省,6-8千/月,03-17
资深爬虫工程师,上海优克锡企业管理顾问有限公司,上海-浦东新区,2-3.5万/月,03-17
爬虫研发工程师,重庆中链融科技有限公司,重庆-巴南区,1-1.5万/月,03-17
Python高级爬虫开发工程师,深圳市蜂窝数据信息技术有限公司,深圳-宝安区,1-1.5万/月,03-17
Java开发工程师(慎投必须会爬虫）,深圳市蓝思网络技术有限公司,深圳,0.8-1.3万/月,03-17
中高级爬虫岗,成都搜江湖科技信息有限公司,成都-金牛区,0.8-1.2万/月,03-17
Python爬虫开发工程师,深圳市中诚金服信息科技管理有限公司,深圳-福田区,1-1.5万/月,03-17
爬虫开发工程师,深圳市北斗快迅科技有限公司,深圳-龙华新区,1.5-2万/月,03-17
爬虫工程师（南京）-开放平台部,中移物联网有限公司,异地招聘,0.8-1.2万/月,03-17
爬虫工程师,完美世界成都公司,重庆,1.2-2万/月,03-17
飞猪技术部-高级 爬虫工程师/爬虫专家-杭州,阿里巴巴集团,杭州,,03-17
爬虫开发工程师,广州金十信息科技有限公司,广州,1-2万/月,03-17
爬虫开发工程师,上海视畅信息科技有限公司,上海-浦东新区,1.2-2万/月,03-17
爬虫实习生,火石创造（医健产业大数据）,杭州-滨江区,150元/天,03-16
爬虫工程师,医药魔方,异地招聘,1-2万/月,03-16
爬虫开发工程师,安徽中经信用评价有限公司,合肥-蜀山区,4-8千/月,03-16
高级爬虫开发工程师(双休五险一金),南京涌亿思信息技术有限公司,南京-秦淮区,1-1.5万/月,03-16
数据与网络爬虫工程师,成都富盈瑞吉投资咨询有限责任公司,成都-高新区,1.2-2.4万/月,03-16
中高级爬虫工程师,成都品宏源创科技有限公司,成都-高新区,2-2.5万/月,03-16
爬虫开发工程师,深圳前海思空传媒有限公司,深圳-南山区,1-1.5万/月,03-16
Python爬虫工程师,天津市淇奥科技发展有限公司,北京-朝阳区,0.8-1万/月,03-16
爬虫开发工程师,湖南新星咨询集团,长沙,6-8千/月,03-16
爬虫开发工程师,换换集团,深圳-南山区,0.8-1.3万/月,03-16
( [ python爬虫开发工程师 ] ),西安山海鲲鸿信息科技有限公司,西安-新城区,4.5-8千/月,03-16
java爬虫开发工程师（双休+奖金）,邯郸市辰星网络科技有限公司,石家庄,4.5-8千/月,03-16
( [ java爬虫开发工程师 ] ),成都指玩科技有限公司,成都-武侯区,4.5-8千/月,03-16
爬虫开发工程师,广州逸仙电子商务有限公司,广州-海珠区,1.8-2.3万/月,03-16
爬虫工程师,武汉国信创新科技有限公司,武汉-东湖新技...,6-8千/月,03-16
爬虫开发工程师,四川千百年科技有限公司,成都-高新区,0.8-1.2万/月,03-16
爬虫开发工程师,杭州世正公共设施管理股份有限公司,杭州-拱墅区,0.6-1万/月,03-16
网络爬虫工程师 java,上海蜜度信息技术有限公司,上海,0.8-1.5万/月,03-16
爬虫工程师（广电院）,中国科学院云计算中心,东莞-松山湖区,0.6-1.5万/月,03-16
爬虫工程师（数据分析）,武汉美之修行信息科技有限公司,武汉,0.5-2万/月,03-16
爬虫工程师,广州市青藤之桥教育信息咨询有限公司,广州-南沙区,0.9-1.2万/月,03-16
爬虫工程师,易居企业（中国）集团有限公司,上海-静安区,0.8-1万/月,03-16
爬虫开发工程师,亿翰智库,上海-静安区,1-1.5万/月,03-16
高级爬虫工程师,杭州求美网络科技有限公司,杭州-滨江区,2.5-3万/月,03-16
python爬虫实习生,指南者教育,常州,200元/天,03-16
Python爬虫工程师,广州源井生物科技有限公司,广州,6-8千/月,03-16
爬虫工程师,上海百秋电子商务有限公司,上海-长宁区,1-1.5万/月,03-16
爬虫工程师,赛速科技,西安-雁塔区,4.5-6千/月,03-16
TEG03-高级爬虫工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,03-16
Python爬虫工程师,北京值得买科技股份有限公司青岛分公司,青岛-市北区,1-1.5万/月,03-15
爬虫开发工程师平安外包,深圳麦亚信科技股份有限公司,深圳-南山区,1.2-1.4万/月,03-15
网络爬虫工程师,“前程无忧”51job.com（上海）,上海-浦东新区,,03-15
Python高级爬虫工程师,深圳市啦啦配送有限公司,深圳-福田区,1.5-2万/月,03-15
爬虫开发工程师,江苏省未来网络创新研究院,南京-江宁区,0.7-1万/月,03-14
python爬虫工程师,浙江东驰科技有限公司,杭州-滨江区,1-1.5万/月,03-14
网络爬虫软件工程师(java),北京优捷信达信息科技有限公司,北京-朝阳区,0.5-1万/月,03-14
网络爬虫工程师（实习生）,苏州瑞翼信息技术有限公司,苏州-工业园区,3-5千/月,03-13
手机应用爬虫工程师,北京弘亚世纪投资顾问有限公司上海分公司,上海,1.5-2.3万/月,03-13
爬虫软件工程师(python),智慧工匠科技有限公司,武汉-武昌区,0.8-1.6万/月,03-13
高级爬虫工程师,长沙云珏网络科技有限公司,长沙-岳麓区,1-1.5万/月,03-12
爬虫工程师,广州探迹科技有限公司,广州-番禺区,1-2万/月,03-12
Python爬虫工程师,无锡市车同轨科技有限公司,无锡-梁溪区,0.8-1万/月,03-11
高级爬虫系统工程师,上海鹏越惊虹信息技术发展有限公司,上海-徐汇区,2-2.5万/月,03-11
网络爬虫工程师,上海璞锐公关策划咨询有限公司,上海,1-2万/月,03-11
python爬虫开发工程师,崇研科技成都有限公司,成都-高新区,6-8千/月,03-11
数据爬虫工程师,北京中农富通城乡规划设计研究院有限公司,西安-碑林区,500元/天,03-11
爬虫工程师,广州茉莉传媒科技有限公司,广州-越秀区,1.5-3万/月,03-11
爬虫工程师,广州探迹科技有限公司,广州-番禺区,1-2万/月,03-11
爬虫开发工程师,安徽富驰信息技术有限公司,合肥,5-7千/月,03-11
爬虫工程师/python,青岛安铭信息科技有限公司,青岛-市南区,0.8-1.5万/月,03-11
爬虫开发工程师,上海博鼠信息科技有限公司,上海-浦东新区,1-1.5万/月,03-10
爬虫开发工程师,四川电科网安科技有限公司,成都-双流区,1-1.5万/月,03-10
高级爬虫工程师,北京易智思信息科技有限公司,武汉-洪山区,0.8-1万/月,03-09
爬虫工程师,传新美讯（上海）医药技术有限公司,南京-浦口区,1-1.5万/月,03-09
爬虫(J10367),有米科技股份有限公司,广州,1.5-2万/月,03-09
爬虫开发工程师,深圳昱锦言信息咨询有限公司,深圳-南山区,1.5-2万/月,03-09
爬虫开发工程师-产品技术平台 (MJ006661),搜狐焦点,北京-海淀区,1.5-2.5万/月,03-09
网络爬虫开发讲师（五险一金）,河南新华电脑学院,郑州-中原区,0.8-1万/月,03-08
网络爬虫工程师,深圳市品思达科技有限公司,深圳-南山区,1-2万/月,03-08
Python 爬虫工程师,深圳市爱帮客科技有限公司,深圳-龙华新区,0.8-1万/月,03-06
爬虫工程师（中高级）,长沙营智信息技术有限公司,长沙-岳麓区,4-7千/月,03-06
高级爬虫工程师,联合金科信息科技有限公司,深圳-南山区,2-2.5万/月,03-06
爬虫开发工程师,久远谦长（上海）企业管理咨询有限公司,异地招聘,1.5-2万/月,03-05
数据爬虫工程师,深圳市爱美购科技有限公司,深圳-南山区,0.8-1.6万/月,03-05
资深Python爬虫工程师,上海思勃商务咨询有限公司,上海-徐汇区,3-3.5万/月,03-04
数据分析岗（爬虫工程师）-中级,中邮消费金融有限公司,广州,15-20万/年,03-04
爬虫研发工程师,南极电商（上海）有限公司,上海-杨浦区,2.5-4万/月,03-04
爬虫开发工程师,浙江国贸数字科技有限公司,杭州-江干区,6-8千/月,03-03
爬虫工程师,湖南数魔网络科技有限公司,长沙-岳麓区,0.7-1.2万/月,03-03
Python爬虫工程师,赛业（广州）生物科技有限公司,广州,6-8千/月,03-03
爬虫开发工程师,武汉勾勾互娱科技有限公司,武汉,1-1.5万/月,03-02
BI开发工程师/爬虫工程师/数据采集工程师,林氏木业,佛山-南海区,1.5-2万/月,02-28
爬虫开发工程师,广州安望信息科技有限公司,广州-天河区,0.8-1.5万/月,02-28
电商软件开发工程师（爬虫）,杭州瑞合品牌管理有限公司,杭州-滨江区,1-1.5万/月,02-27
爬虫工程师（跨境电商）,深圳市微八进出口有限公司,深圳-龙岗区,1-2万/月,02-27
初级爬虫工程师,广州潮盟网络科技有限公司,广州-天河区,6-8千/月,02-27
爬虫开发工程师,北京晨跃科技有限公司,北京-朝阳区,1.5-2万/月,02-27
中级爬虫开发工程师,南京茂毓通软件科技有限公司,南京-雨花台区,1.5-2.5万/月,02-25
网络爬虫工程师,南京擎盾信息科技有限公司,南京-雨花台区,7-9千/月,02-24
PYTHON工程师/VBS工程师/爬虫工程师/RPA工程师,上海美狄莎思美奇商贸有限公司,上海-长宁区,0.8-2万/月,02-23
爬虫实习生（可远程）,上海客优数据科技有限公司,上海-浦东新区,150元/天,02-22
Python爬虫研发工程师,广州多益网络股份有限公司,武汉-武昌区,1-2万/月,02-21
Python爬虫工程师,深圳村信网科技有限公司,深圳-南山区,1-2万/月,02-21
Python 爬虫工程师,珠海市爱享创业空间服务有限公司,深圳-福田区,1-1.5万/月,02-20
python爬虫开发工程师,深圳市前海创新研究院,深圳-南山区,0.8-1.2万/月,02-20
爬虫开发工程师,湖北长佰网络科技有限公司,武汉-洪山区,1-2万/月,02-14
资深爬虫工程师,北京路客互联网科技有限公司,广州-海珠区,1.5-2.5万/月,02-11
爬虫开发工程师,深圳市前海润杨金融服务有限公司,深圳-南山区,1-1.2万/月,02-10
数据爬虫实习生,浙江华治数聚科技股份有限公司,北京-海淀区,3-4.5千/月,02-05
高级爬虫工程师,深圳市东信时代信息技术有限公司,深圳-南山区,1.6-2.5万/月,02-04
爬虫工程师,武汉慧通远达信息技术有限公司,长沙-雨花区,0.7-1.2万/月,01-25
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
Python爬虫工程师,广州龙骐贸易有限公司,广州-白云区,0.8-1.5万/月,01-21
爬虫开发工程师,名筑科技信息有限公司,上海-静安区,1-1.5万/月,01-20
web爬虫和分析工程师,普天信息技术有限公司,北京,1-1.5万/月,01-20
爬虫技术专家/爬虫工程师,上海恒生聚源数据服务有限公司,上海,3-4万/月,01-19
爬虫工程师,上海嘉道信息技术有限公司,上海-长宁区,1-2万/月,01-18
软件工程师,央视市场研究股份有限公司,北京-西城区,0.8-1.5万/月,03-17
Python开发工程师(***),上海铠卡医疗器械贸易有限公司,上海,1000元/天,03-17
BI项目经理,广州迅易科技有限公司,广州-海珠区,1.5-2万/月,03-17
Java开发工程师,广州九图信息科技有限公司,南宁,0.8-1万/月,03-17
web前端工程师,上海新大陆翼码信息科技股份有限公司,上海,0.8-1.5万/月,03-17
Java高级开发工程师,杭州软星科技有限公司,杭州-拱墅区,1-1.8万/月,03-17
Python开发工程师,柳州智视科技有限公司,柳州,6-8千/月,03-17
Python后台开发工程师,深圳市道合顺科技有限公司,深圳-福田区,1.5-3万/月,03-17
PRA开发、实施工程师,河南八六三软件股份有限公司,异地招聘,1.5-2.5万/月,03-17
Python开发工程师,福建中赢在线科技有限公司,福州-鼓楼区,1-1.5万/月,03-17
.net程序员/c#  asp.net,深圳海润天恒科技有限公司,深圳-宝安区,0.7-1.4万/月,03-17
Python开发工程师,北京华脉世纪石油科技有限公司,异地招聘,0.8-1万/月,03-17
Python开发工程师,广州众成医疗器械产业发展有限公司,广州-越秀区,0.8-1万/月,03-17
Python开发工程师,深圳市悟空跨境科技有限公司,深圳-南山区,1-1.5万/月,03-17
JAVA软件工程师,深圳市华中航空服务有限公司,深圳-福田区,10-15万/年,03-17
智慧医疗平台前端工程师202001,鹏城实验室,深圳-南山区,,03-17
大数据开发工程师,广州华央电子科技有限公司,广州-黄埔区,6-8千/月,03-17
Python开发工程师,武汉辰垚网络科技有限公司,武汉-洪山区,6-8千/月,03-17
python讲师（五险一金+包饭）,湖南潭州教育网络科技有限公司成都分公司,成都-武侯区,3.5-6千/月,03-17
Python 数据分析/人工智能,湖南潭州教育网络科技有限公司,长沙-岳麓区,0.8-1.6万/月,03-17
急聘python公开课讲师,湖南潭州教育网络科技有限公司贵阳分公司,贵阳,4.5-6千/月,03-17
数据挖掘工程师,广东新明珠陶瓷集团有限公司,佛山-禅城区,1.1-2.5万/月,03-17
Python教员,广东百捷教育投资有限公司,广州-花都区,0.7-1.1万/月,03-17
Python开发工程师,成都花市网电子商务有限公司,成都,5-8千/月,03-17
Java软件工程师/高级软件开发工程师,上海车团网络信息技术有限公司,上海-浦东新区,1.5-3万/月,03-17
数据服务高级工程师,四川高辰建筑工程有限公司,成都-高新区,1-1.5万/月,03-17
PHP开发工程师,深圳市墨知创新科技有限公司,西安-高新技术...,0.7-1.2万/月,03-17
数据挖掘工程师,中策大数据咨询（深圳）有限公司,深圳-南山区,1-1.5万/月,03-17
Python开发工程师,北京聚源锐思数据科技有限公司,北京-海淀区,0.8-1万/月,03-17
天猫淘宝小红书网络销售客服,北京鱼爪网络科技有限公司成都分公司,成都-青羊区,1-1.5万/月,03-17
高级Java工程师,卫盈联信息技术（深圳）有限公司,深圳-南山区,1.5-3万/月,03-17
Python开发工程师（大学讲师）,江西信息应用职业技术学院数字技术学院,南昌,0.6-1万/月,03-17
广告数据分析,宁波豪雅进出口集团有限公司,宁波,,03-17
Python开发工程师(网络安全行业）,江苏御维科技有限公司,北京-海淀区,1.2-2万/月,03-17
RPA软件实施开发工程师,上海容智信息技术有限公司,上海-黄浦区,4-8千/月,03-17
阿里巴巴国际站运营,广州市汉婷信息科技有限公司,广州-天河区,5-8千/月,03-17
急聘数据分析师,上海一里井会展服务有限公司,上海-浦东新区,0.7-1万/月,03-17
数据采集开发工程师,重庆聚合科技有限公司,重庆,1-1.5万/月,03-17
数据库工程师,北京高训教育科技发展有限公司,南京-建邺区,6-9千/月,03-17
高级脚本开发工程师（python）,广州网融信息技术有限公司,广州-海珠区,1.5-2万/月,03-17
Java开发工程师,苏州时玳运成网络科技发展有限公司,苏州-工业园区,1.7-2.7万/月,03-17
SEO工程师,深圳富康安电子有限公司,深圳-龙华新区,0.6-1.5万/月,03-17
大数据开发工程师,南京牧信科技有限公司,南京-江宁区,6-8千/月,03-17
高级测试工程师,郑州玩号吧网络科技有限公司,郑州-金水区,1.5-3万/月,03-17
研发工程师（西安）,北京神州绿盟信息安全科技股份有限公司,西安,,03-17
.NET开发工程师,深圳市搜了网络科技股份有限公司,深圳-南山区,1.2-2万/月,03-17
java工程师（五险一金）,湖南星汉数智科技有限公司,长沙-岳麓区,0.8-1.2万/月,03-17
BIM大数据软件工程师,林同棪（重庆）国际工程技术有限公司,重庆-渝北区,0.8-1万/月,03-17
算法工程师,朗新科技股份有限公司,江苏省,,03-17
研发工程师,北京赋乐科技有限公司,北京,,03-17
建模工程师,武汉新视野风险管理科技有限公司,武汉-东湖新技...,0.8-1.5万/月,03-17
运维经理,广州城市信息研究所有限公司,广州,1-1.5万/月,03-17
网络推广/新媒体推广（seo/sem）,明安旭（上海）健康科技有限公司,上海-杨浦区,0.8-1.2万/月,03-17
Java高级开发工程师,上海易好房网络科技有限公司,上海-长宁区,1-2万/月,03-17
大数据工程师,绿漫科技有限公司,杭州-西湖区,2-2.5万/月,03-17
人工智能工程师,朗曦国际（上海）信息技术有限公司,上海-静安区,1-1.5万/月,03-17
数据研发工程师(J12281),绿盟科技,西安-高新技术...,1-1.5万/月,03-17
Python开发工程师,上海吾创信息科技有限公司,上海-浦东新区,0.9-1.2万/月,03-17
地理位置中台方向工程师,字节跳动,北京,3-5万/月,03-17
php程序员,合肥朗途电子商务有限公司,合肥,1-2万/月,03-17
Python开发工程师,上海罗盘信息科技有限公司,武汉-武昌区,0.8-1.5万/月,03-17
技术总监,北京澎湃信用管理有限公司,北京-朝阳区,2-5万/月,03-17
系统架构部-实习生,浙江诺诺网络科技有限公司,杭州-西湖区,4-8千/月,03-17
Python开发/深度学习,上海凯融信息科技有限公司,上海-普陀区,0.7-1.5万/月,03-17
Python开发工程师,成都聚思力信息技术有限公司,成都,1.2-1.8万/月,03-17
高级Java软件开发工程师,江苏虫洞电子商务有限公司,常州,1-1.5万/月,03-17
Big data /大数据工程师,广州市西美信息科技有限公司,广州,1.6-2.6万/月,03-17
开发工程师,杭州邦银电子商务有限公司,杭州-余杭区,1.5-1.8万/月,03-17
少儿Python编程老师,东莞市海豚教育科技有限公司,东莞-石龙镇,6-8千/月,03-17
信息安全经理,上海五蕴信息科技有限公司,上海-黄浦区,1.5-2.5万/月,03-17
高级数据分析工程师,广东尚睿网络技术有限公司,异地招聘,1-1.6万/月,03-17
软件工程师,深圳市远欧国际贸易有限公司,深圳-龙华新区,1-1.5万/月,03-17
SEO网络优化推广,山东九鼎企业管理咨询有限公司,异地招聘,6-8千/月,03-17
SEO专员外链专员优化,北京拓普利达科技有限责任公司,北京-石景山区,0.5-1万/月,03-17
Java开发工程师NJ,通联数据股份公司,南京-建邺区,1-1.8万/月,03-17
机器学习工程师,苏州博彦信息技术有限公司,苏州-工业园区,0.8-1.6万/月,03-17
深度学习算法工程师（之江智能）,上海之江生物科技股份有限公司,上海-闵行区,1-2.5万/月,03-17
SEO专员,武汉智北辰教育咨询有限公司,武汉-武昌区,6-8千/月,03-17
信息采集员,成都独至文化传媒有限公司,成都-武侯区,6-8千/月,03-17
Python研发工程师,深圳市比量科技传媒有限公司,珠海,0.6-1.2万/月,03-17
数据开发工程师,杭州爱德朗电子商务有限公司,杭州-滨江区,1.2-1.8万/月,03-17
Python Web讲师,苏州高博应诺信息科技有限公司,苏州,1-1.5万/月,03-17
NLP算法工程师,赛特斯信息科技股份有限公司,南京,1-2万/月,03-17
数据挖掘,深圳桑椹电子商务有限公司,深圳-龙华新区,1-1.5万/月,03-17
Python开发工程师,广州竞德信息技术有限公司,广州-天河区,1.2-1.6万/月,03-17
IT/网管/系统运维,上海小蜜坊国际贸易有限公司,上海-闵行区,6-8千/月,03-17
Web安全工程师(湖北),北京启明星辰信息安全技术有限公司,武汉-江岸区,1-2万/月,03-17
Python开发工程师,北京中科三方网络技术有限公司,北京-海淀区,0.8-1万/月,03-17
Linux C 软件工程师,北京中创信测科技股份有限公司,北京-海淀区,1.5-2万/月,03-17
技术主管,上海友动网络科技有限公司,上海-静安区,1.2-2.4万/月,03-17
Java开发工程师,广州市魔幻科技有限公司,广州-天河区,1-1.5万/月,03-17
