排名,电影名称,电影英文名称,导演,剧情类型,上映时间,片长,累计票房,主演,评分,奖项,剧情简介
79,时空恋旅人,About Time,理查德·柯蒂斯,喜剧,2013-09-04,123分钟,暂无,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",8.8,"['第4届北京国际电影节', '第40届土星奖', '第4届北京国际电影节', '第40届土星奖', '第61届圣塞巴斯蒂安国际电影节', '第34届伦敦影评人协会奖']",长到21岁的时候，蒂·姆雷克 （多姆纳尔·格里森饰演）突然得知自己有穿越时空的能力。在和往年一样不欢而散的新年派对之后，蒂姆的爸爸 （比尔·奈伊饰演）跟他坦诚布公：我们这个家族的男人，生来就有着穿越时空的神力。蒂姆虽然不能改变历史，但是他能够改变自己生命中发生过的和将要发生的一些小事，所以他决定运用自己的能力，让生活变得美好——说白了他是希望给自己找一个女朋友。然而，这并非像他相信中那么容易。蒂姆从康沃尔海岸搬到了伦敦，受训成为律师，在这里他终于遇上了一位漂亮但不那么自信的姑娘，名叫玛丽（ 瑞秋·麦克亚当斯 饰演）。两人相爱了。然而一次“穿越”当中，蒂姆不小心改变的一件小事就像像“蝴蝶效应”一样让他在将来生活中没有机会遇到玛丽。通过一次又一次的尝试，蒂姆一次又一次地和玛丽相遇，他终于赢得了她的心  。
80,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,米林宏昌,动画,2010-07-17,94分钟,暂无,"志田未来,神木隆之介,大竹忍",8.8,"['第34届日本电影学院奖', '第25届芝加哥影评人协会奖', '第34届日本电影学院奖', '第25届芝加哥影评人协会奖']",虽然患有心脏方面的疾病，但是少年翔（神木隆之介 配音）的父母依然对他疏于呵护。为了准备即将到来的手术，翔来到了位于偏远乡间的姨婆（竹下景子 配音）家静养。姨婆家位于一片幽静的丛林中，这是一幢有着上百年历史的欧式别墅。这里除了生活着姨婆和女佣阿春（树木希林 配音）外，还有一个奇特的三口之家，“借东西一族”——小人阿莉埃蒂（志田未来 配音）和她的爸爸（三浦友和 配音）妈妈（大竹忍 配音），他们生活在别墅的地板下，只有几公分高，过着不为人类察觉的生活。遇到所需的日常用品时，便会在夜深人静之时偷偷潜入厨房借出来。翔无疑中瞥见阿莉埃蒂的身影，他有心接近这些传说中的小人，却不知不觉打扰了他们的生活……
81,恐怖直播,더 테러 라이브,金秉宇,剧情,2013-07-31,97分钟,暂无,"河正宇,李璟荣,李大为",8.8,"['第34届韩国青龙电影奖', '第50届韩国百想艺术大赏', '第34届韩国青龙电影奖', '第50届韩国百想艺术大赏']",韩国首尔某个平凡的早上，广播电台Daily Topic节目的主持人尹英华（河正宇 饰）正就税率改革与听众进行连线，这时一个自称住在首尔昌信洞的普通工人朴鲁圭打入电话，大肆抱怨超高的电费和相关部门对他的威胁。尹英华颇不耐烦，以偏离主题为由强行切断电话。谁知连线无法单方面由电台方面中断，愤怒的朴鲁圭继续抱怨，并扬言炸掉汉江大桥。尹英华不以为然，进而怂恿对方想做就做，谁知话音刚落，窗外的麻浦大桥便炸作废墟。大惊失色的尹英华很快冷静下来，他决定利用这次难得的机会打一次事业的翻身仗。在他的主持下，针对恐怖分子的连线直播就此展开，无关良知的节目拉开帷幕……
82,英雄本色,A Better Tomorrow,吴宇森,剧情,2017-11-17,95分钟,3262万,"狄龙,张国荣,周润发",9.2,"['第6届香港金像奖', '第23届台湾电影金马奖', '第6届香港金像奖', '第23届台湾电影金马奖', '第4届北京国际电影节']",宋子豪（狄龙 饰）与Mark（周润发 饰）是一个国际伪钞集团之重要人物，也是情如手足的挚友。宋子豪之弟宋子杰（张国荣 饰）刚刚考入警官学校，其女友钟柔（朱宝意 饰）聪明敏慧，对子杰情深一片。一次，宋子豪带手下谭成（李子雄 饰）去台北与当地黑帮作伪钞交易。不料谭成早已勾结台北黑帮，出卖子豪。在一场枪战中宋子豪受伤，被闻讯而来的警察捕获入狱。Mark得知宋子豪被捕，孤身一人赴台北击毙黑帮头目，自己也身负重伤，艰难地逃离现场。与此同时，台湾黑帮唯恐子豪在狱中向警方泄密，派人至香港绑架子豪之父，混战中老父丧命。宋子豪的弟弟子杰得知兄长原为伪钞集团头目，老父为之而死，遂对子豪及黑社会恨之入骨，决心除暴安良。三年后，宋子豪出狱回到香港，决心弃暗投明，但得不到宋子杰的谅解。当年出卖宋子豪的谭成现已成为老大。他假惺惺地要求宋子豪合作，遭到拒绝，便设计加害宋子杰。宋子豪忍无可忍，联合Mark盗取谭成制造伪钞的电脑软盘，随即交给宋子杰。但同时佯称以软盘与谭成做交易，计划在交易时活捉谭成。岂料谭成早有准备，双方在码头展开枪战。这时，宋子杰也驾车赶来，激战中Mark不幸身亡。警察蜂拥而至，包围了码头。为了不连累宋子杰，宋子豪开枪击毙谭成后，从宋子杰身上取下手铐自缚，向警察自首。两兄弟终于言归于好。
83,海豚湾,The Cove,路易·西霍尤斯,纪录片,2009-07-31,92分钟,86万美元,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",8.9,"['第82届奥斯卡金像奖', '第26届圣丹斯电影节', '第82届奥斯卡金像奖', '第26届圣丹斯电影节', '第18届悉尼电影节', '第49届美国剪辑工会奖', '第62届美国导演工会奖', '第8届华盛顿影评人协会奖', '第22届芝加哥影评人协会奖', '第18届东南影评人协会奖', '第14届圣地亚哥影评人协会奖']",日本和歌山县太地，是一个景色优美的小渔村，然而这里却常年上演着惨无人道的一幕。每年，数以万计的海豚经过这片海域，他们的旅程却在太地戛然而止。渔民们将海豚驱赶到靠近岸边的一个地方，来自世界各地的海豚训练师挑选合适的对象，剩下的大批海豚则被渔民毫无理由地赶尽杀绝。这些屠杀，这些罪行，因为种种利益而被政府和相关组织所隐瞒。理查德·贝瑞年轻时曾是一名海豚训练师，他所参与拍摄电影《海豚的故事》备受欢迎。但是，一头海豚的死让理查德的心灵受到强烈的震撼。从此，他致力于拯救海豚的活动。不顾当地政府和村民百般阻挠，他和他的摄影团队想方设法潜入太地的海豚屠杀场，只为将罪行公之于众，拯救人类可爱的朋友……
84,忠犬八公物语,ハチ公物語,神山征二郎,剧情,1987-08-01,107分钟,暂无,"仲代达矢,春川真澄,井川比佐志",9.0,"['第11届日本电影学院奖', '第11届日本电影学院奖']",1923年，日本秋田县大馆市天降大雪，近藤家纯种秋田犬产仔，赠与县土木科长间濑。后者将其中一犬转赠东京帝国大学教授上野秀次郎（仲代达矢 饰）驯养。上野的独生女千鹤子对此欢欣鼓舞，而上野夫妇却面露难色。后来，千鹤子（石野真子 饰）谈恋爱，竟怀了男友的孩子。男友专程登门造访。上野与之对谈，后者诚惶诚恐，坦言要对其女儿负责，事不宜迟，即日便举行婚礼，上野闻听此言，转怒为喜。千鹤子出嫁后，上野旋即把全部的心血与爱都投注在幼犬身上，并取名为阿八。每日上下班，阿八必在涩谷车站等候，一年四季，风雨无阻，令路人叹为观止，成为地方一道风景，主仆之情感动天地……
85,辩护人,변호인,杨宇硕,剧情,2013-12-18,127分钟,56万美元,"宋康昊,郭度沅,吴达洙",8.8,"['第35届韩国青龙电影奖', '第50届韩国百想艺术大赏', '第35届韩国青龙电影奖', '第50届韩国百想艺术大赏', '第51届韩国电影大钟奖', '第40届韩国电影大钟奖', '第8届亚洲电影大奖']",1978年，只有高中学历的宋佑硕（宋康昊 饰）通过多年的艰苦努力，终于通过司法考试，并在成为法官后很快转行成为一名律师。他敏锐地从最新政策中嗅到商机，以不动产代书业务起家。虽然被同行讥讽为随时随地派发名片的夜店小弟，但佑硕不以为忤，一步一步朝着心中的目标迈进。他依靠赚来的钱让妻儿过上富足的生活，也还了七年前在饭店大婶那里欠下的良心债。进入20世纪80年代，韩国民主化斗争愈演愈烈。佑硕全然不管窗外事，关起门来继续赚钱。然而社会的巨变已经不容他置身事外，饭店大婶的儿子朴镇宇因从属的釜山读书联合会被控为左翼社团而遭到逮捕，更受到残酷的虐待和不公的指控。虽然爱钱却更重感情的佑硕，就这样走上了为民主辩护的道路……
86,完美的世界,A Perfect World,克林特·伊斯特伍德,剧情,1993-11-24,138分钟,3113万美元,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",8.9,[],单亲孩子菲利普·佩里（T·J·劳瑟 饰）的母亲对他管教甚严，8岁的小菲利普甚至从未参加过一次鬼节讨糖果的游戏。附近州监狱的两名罪犯越狱成功，劫持了菲利普作为人质，向德州边界逃窜。途中，罪犯之一的布奇（凯文·科斯特纳 饰）干掉了鲁莽愚蠢的同伙，却对小菲利普照顾有佳。与此同时，德州警探瑞德（克林特·伊斯特伍德 饰）带着手下和州长特派的犯罪专家萨利（劳拉·邓恩 饰）一同火速追捕布奇。双方在德克萨斯州境内展开了一场公路赛大竞技；而小菲利普也经历了很多从未想过过的刺激与快乐，并与布奇产生了一种近似父子的不寻常感情……
87,上帝之城,Cidade de Deus,卡迪亚·兰德,剧情,2002,130分钟,756万美元,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",8.9,"['第76届奥斯卡金像奖', '第60届金球奖', '第76届奥斯卡金像奖', '第60届金球奖', '第15届东京国际电影节', '第15届欧洲电影奖', '第56届英国电影和电视艺术学院奖', '第25届多伦多国际电影节', '第5届北京国际电影节', '第19届独立精神奖', '第6届英国独立电影奖', '第68届纽约影评人协会奖']",巴西里约热内卢的贫民窟，这里是“上帝之城”，更是魔鬼也会叹息着转身的地方。阿炮（亚历山大·罗德里格斯 饰）带着我们到了这里，他见证了这里二十多年来被残暴、贪婪、复仇、野心、背叛、掠夺所裹挟的混乱生活以及最终导致的一场灾难性的黑帮争斗。虽然从小就要辗转于匪徒间求生存，但胆小怕事的性格与自我保护的本能却使他一直能平安度日。60年代初，阿毛、阿夹和阿呆是这里的“少年三侠”，在抢劫完旅馆之后，他们三人分道扬镳，阿夹重回上帝的怀抱，而阿呆和阿毛纷纷付出了生命的代价。70年，当年“少年三侠”手下的小弟小豆子（道格拉斯·席尔瓦 饰）靠着自己的心狠手辣，不停地吞并别人的地盘，成为了贫民区的“小霸王”，生意也从抢劫升级到了更为暴利的毒品买卖，和他一起飞黄腾达的还有班尼（Phellipe·哈根森 饰）。班尼认识了美丽的安迪丽卡（艾莉丝·布拉加 饰），准备归隐，在送别的晚会上，他意外被对头杀害，悲痛之下，“小霸王”集合人手给班尼报仇，帮派之间的厮杀就此开始。此时的阿炮，机缘巧合下成为了杂志社的见习摄影师，他的相机，照下的却是孩子们持枪核弹的狰狞，和帮派间无休无止的仇杀。
88,美国往事,Once Upon a Time in America,赛尔乔·莱翁内,剧情,2015-04-23,229分钟,532万美元,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",9.1,"['第42届金球奖', '第38届英国电影和电视艺术学院奖', '第42届金球奖', '第38届英国电影和电视艺术学院奖', '第8届日本电影学院奖', '第5届北京国际电影节', '第41届土星奖', '第30届意大利大卫奖', '第58届日本电影旬报奖']",二十年代的美国，纽约少年“面条”（罗伯特·德尼罗 饰）和几个同龄朋友一起认识了聪明狡黠的“麦大”（詹姆斯·伍兹 饰），他们开始从事走私活动。不久，面条在一场械斗中杀伤人命，被关进监牢。若干年后，“面条”出狱，当时的小伙伴们已经变成了健壮的青年人，在“麦大”的带领下，他们开始了一系列抢劫、盗窃、敲诈活动。随着犯罪活动的不断深入，“麦大”似乎被胜利冲昏了头脑，竟然把美国联邦储备银行也列入了行动目标。“面条”不忍眼看好友走向毁灭，偷偷打电话报警，想逼迫“麦大”收手。警察与“面条”的朋友展开激烈枪战，“麦大”等人全部被杀。“面条”带着深深的悔恨和痛苦，离开纽约，回到年少时生长的地方。三十五年过去了，几近垂暮的“面条”重新回到纽约的伤心地，他遇见了少时的朋友和旧情人，而当年“麦大”他们的死，背后竟然包含着出乎意料的阴谋。
89,七武士,七人の侍,黑泽明,剧情,1954-04-26,207分钟,暂无,"三船敏郎,志村乔,千秋实",9.1,"['第29届奥斯卡金像奖', '第15届威尼斯电影节', '第29届奥斯卡金像奖', '第15届威尼斯电影节']",日本战国时代，一小山村面临着山贼的威胁，为了保护秋天的收成，村中长老决定让去请武士来保护村子安全，但只能拿出的报酬是一天三顿的白米饭。在城里，他们遭到了武士白眼甚至被打。直到勘兵卫（志村乔 饰）的出现，他现今已沦为浪人，几经考虑最后答应了。他对农民说至少需要七名武士，于是久藏（宫口精二 饰）、胜四郎（木村功 饰）、五郎（稻叶义男 饰）、七郎（加东大介 饰）、平八（千秋实 饰）和菊千代（三船敏郎 饰）等六人也加入了队伍，七个人肩负保卫村子的任务。整个防御准备的过程中，武士与农民间发生许多摩擦也闹出不少笑话。而在一次偷袭行动中，有武士为救农民被火枪打死，很快山贼的反扑随之而来，一场恶战即将开始。
90,一一,Yi yi: A One and a Two,杨德昌,剧情,2000-05-15,173分钟,暂无,"吴念真,金燕玲,李凯莉",8.9,"['第53届戛纳电影节', '第21届香港金像奖', '第53届戛纳电影节', '第21届香港金像奖', '第10届华语电影传媒大奖', '第2届华语电影传媒大奖', '第1届华语电影传媒大奖']",NJ（吴念真 饰）是个很有原则的生意人，同妻子敏敏（金燕玲 饰）、女儿婷婷（李凯莉 饰）、儿子洋洋（张杨洋饰）以及外婆住在台北某所普通公寓里。小舅子的一场麻烦婚礼过后，因为外婆突然中风昏迷，他迎来更加混乱的日子。敏敏公司、家里两头跑，时常感觉自己要被耗空；婷婷一直为外婆的中风内疚，恋爱谈到中途发现自己不过是替代品；NJ更是麻烦重重，公司面临破产，他又不愿放下别人眼里一文不值的自尊。一家人里，似乎只有洋洋没有烦恼，他平静地用照相机拍着各种人的背面，帮他们长出另一双眼睛，然而，洋洋简简单单的一句话，道出更深的悲凉。
91,龙猫,となりのトトロ,宫崎骏,动画,2018-12-14,86分钟,1.74亿,"秦岚,糸井重里,岛本须美",9.1,"['第31届日本电影蓝丝带奖', '第62届日本电影旬报奖', '第31届日本电影蓝丝带奖', '第62届日本电影旬报奖', '第13届报知映画赏']",小月（日高法子 配音）的母亲（岛本须美 配音）生病住院了，父亲（糸井重里 配音）带着她与四岁的妹妹小梅（坂本千夏 配音）到乡间居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫（高木均 配音）成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。妹妹小梅常常挂念生病中的母亲，嚷着要姐姐带着她去看母亲，但小月拒绝了。小梅竟然自己前往，不料途中迷路了，小月只好寻找她的龙猫及小精灵朋友们的帮助。
92,爱·回家,집으로...,李廷香,剧情,2002-04-05,80分钟,45万美元,"俞承豪,金艺芬,童孝熙",9.0,"['第22届香港金像奖', '第22届香港金像奖']",坐完火车，又坐汽车，再走弯弯的山路，妈妈领着7岁的相宇去外婆家。作为单身母亲的她为了方便找工作暂时把相宇留在那里。相宇的外婆不能说话，也不识字，而一直生活在可乐、电子游戏和溜冰鞋世界里的相宇，刚开始无法适应连游戏机、电池都没有得卖的农村生活，他开始表现自己的不满，为了买电池，相宇偷走外婆的银头簪拿去卖；相宇还不顾在一旁缝袜子的外婆，在地板上玩起了溜冰。有一天，想吃炸鸡的相宇通过各种手势，终于成功向外婆表达了自己的意愿，而外婆只理解到鸡肉，做出来的是“泡在水里的鸡”———炖鸡，相宇很生气，推翻了饭碗。面对这一切外婆唯一的表示就是不停用手势表示对不起，因为连买电子游戏机电池的钱都给不起，因为不能满足相宇想吃炸鸡的要求而对不起。
93,阿飞正传,Days of Being Wild,王家卫,剧情,2018-06-25,94分钟,1974万,"张国荣,张曼玉,刘德华",8.8,"['第10届香港金像奖', '第28届台湾电影金马奖', '第10届香港金像奖', '第28届台湾电影金马奖', '第13届南特三大洲电影节']",英俊不凡的旭仔阿飞 （张国荣饰）是上海移民，他从未见过生母，自小由养母 （潘迪华饰）养大，因此长大后他对生命中遇到的每一个女人都冷酷无情。放荡不羁的他先后与南华体育会售票员苏丽珍 （张曼玉饰）和舞女咪咪 （刘嘉玲饰）同居，但后来又相继抛弃了她们。旭仔从养母处得知，自己原是混着西班牙和菲律宾贵族血统的私生子旭仔决要找到生母，为此他只身前往菲律宾，可是生母拒见，带着怨恨离开。旭仔在离开香港前，将车子给予歪仔 （张学友饰）。咪咪发现旭仔走了，问歪仔知不知道他在那里，歪仔告诉她旭仔去了菲律宾，并将旭仔的车子卖掉，将钱给她去菲律宾找旭仔。一直暗恋苏丽珍的警察超仔 （刘德华饰）目睹了苏丽珍与旭仔的决裂，并在母亲死后，决定改行去跑船。超仔在菲律宾唐人街又遇上了旭仔，不过他假装自己不认识他。不久，旭仔因为买卖假护照而在一场殴斗中身负重伤，超仔问他记不记得某年4月16日下午3时他在做什么，旭仔说要记得的他永远记得，但是他叫超仔告诉苏丽珍他已经不记得了。最后他守着死在一列异国火车上的旭仔。在这同时，另一个阿飞 （梁朝伟饰）精心打理自己准备出门，继续上演着无脚鸟的故事  。
94,我爱你,그대를 사랑합니다,秋昌旼,剧情,2011-02-17,118分钟,暂无,"宋在浩,李顺才,尹秀晶",9.0,"['第48届韩国电影大钟奖', '第48届韩国电影大钟奖']",每天清晨骑着摩托车送牛奶的金万石嘴边总是挂着脏话，但其实是个热心肠的人。有一天，万石在上坡的时候偶遇了靠收废纸为生，孤独且艰辛的宋怡芬，并在孙女金妍儿的穿针引线下，对她产生了特殊的感情。在停车场工作的张君峰的妻子患有老年痴呆症。他每天早出晚归工作，回到家后就尽心照顾妻子。然而妻子却将不久于人世。君峰深爱着自己的妻子，因此悲痛无比。他想帮妻子减轻痛苦，同时他也无法接受没有妻子陪伴的日子，最后决定同妻子一起离开这个世界。他将门窗仔细封好，坐在妻子身边，笑着对她说一起走过了这么长的一辈子，下辈子还要娶她，妻子摇摇头说你永远都在为我付出而我却不能为你做什么，我不能再拖累你了。躺在妻子身边，握着她的手，平静地等待最后时刻的到来。老友夫妇的死对怡芬触动很大，她深爱着万石，不想失去他，但他已临近生命的终点，她不能承受死亡将他们分开，思虑再三，决定自己独自带着最美好的回忆回到老家，慢慢老去。万石起先无法接受，后来还是理解了她的选择，并决定送她回家。在她的老宅前，两人互相望着对方，千言万语都包含在着最后的凝望中。两人唯一的一次拥抱，深深的一抱，不禁都老泪纵横。随着握着的双手渐渐地分开，一段恋情就此慢慢地飘散开来，又在两人的心中汇聚，尘封在记忆之中。弥留之际，万石仿佛看到自己骑着摩托，来到怡芬的老宅前，载着她越过田野，越过山谷，越过天空，去往他们的天堂。老人带着一脸的满足，微笑着离去。
95,海洋,Océans,雅克·贝汉,纪录片,2011-08-12,104分钟,2675万,"雅克·贝汉,姜文,兰斯洛特·佩林",8.9,"['第36届法国电影凯撒奖', '第1届北京国际电影节', '第36届法国电影凯撒奖', '第1届北京国际电影节']","影片讲述了热爱动物又充满幻想的十岁男孩方小奇，由于父母常年在外工作，所以只能在爷爷工作的“极地海洋世界”里度过自己的童年。值得庆幸的是，“海洋世界”里千姿百态的各种海洋动物，让小奇的生活充满了欢乐和幸福。    一天晚上，远在北极的爸爸给小奇来的一封信又使他失望了,信中说我们的科考工作还没完成，因此不能回来给你过生日了。小奇非常难过，便拿着爸爸的信独自来到海豚池边偷偷哭泣。就在这个时候，奇迹发生了！那只平时就跟小奇很要好的小海豚琪琪，突然开口和他‘说话’了！它告诉小奇，它也很难过，天天思念自己的爸爸。两颗心，因为同一种情感被紧紧地联系在一起。    小奇从饲养员那里得知，琪琪是被人类从大海里救回来的。当年它爸爸为了保护它，在和鲨鱼拼搏中受了重伤，现在还不知是生还是死。琪琪的悲惨经历，让小奇决心帮助琪琪找到它的爸爸。    就在小奇和同学们努力准备的时候，琪琪却突然病了。望着不吃不喝的“好朋友”，小奇流下了眼泪。他知道，琪琪的病是因为它见不到爸爸而造成的！情急之下，小奇和维维、洋洋等好朋友把琪琪从“海洋世界”偷运出去，可就在他们的行动将要成功的时候，却被饲养员发现了。小奇不仅被平日里非常疼爱他的爷爷怒斥，还被禁止再来海豚池看琪琪！小奇又气又急，终于也发起了高烧。    小奇怎么也不知道，他和琪琪之间的友谊，他为“海洋朋友”所做的一切努力，同样也打动了一些人的心，他们正在为琪琪重归大海，重见爸爸而暗暗努力着。一段关于人与动物、亲情与友谊、爱与理解的美丽故事，正在那个如梦如幻的海洋世界里上演着……"
96,黄金三镖客,"Il buono, il brutto, il cattivo.",赛尔乔·莱翁内,西部,1966-12-23,161分钟,2510万美元,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",8.9,[],故事发生在美国南北战争时期。图科（埃里·瓦拉赫 饰）是一个图财害命的江洋大盗，因此他被镇上悬赏通缉。布兰迪（克林特·伊斯特伍德  饰）是一个除暴安良的牛仔，他无意中抓住了图科，但嫌赏金不够又掳走了他。在荒漠中，布兰迪惩罚图科让其自生自灭。但是诡诈的图科居然逃过了一劫，并纠集一些帮凶在客栈捉住了布兰迪。正当图科以牙还牙折磨布兰迪的时候，他劫持了一个名叫卡森的士兵。后者临死前留下了宝藏的秘密，图科和布兰迪分别获得了一半信息。与此同时，一个狡猾的杀手桑坦萨（李·范·克里夫 饰）也通过其他渠道发现了宝藏的秘密。于是，在寻宝的道路上，三个人使出浑身解数，上演了一场场对决的好戏……
97,迁徙的鸟,The Travelling Birds,雅克·贝汉,纪录片,2001-12-12,98分钟,暂无,"雅克·贝汉,PhilippeLabro",9.1,"['第75届奥斯卡金像奖', '第15届欧洲电影奖', '第75届奥斯卡金像奖', '第15届欧洲电影奖', '第27届法国电影凯撒奖', '第17届西班牙戈雅奖']",当鸟儿用羽翼去实现梦想，翱翔在我们永远无法凭借自身企及的天空，人类又该赋予他们怎样的赞叹呢？“鸟的迁徙是一个关于承诺的故事，一种对于回归的承诺。”雅克·贝汉以这样一句话带我们踏上了鸟与梦飞行之旅。
98,千与千寻,千と千尋の神隠し,宫崎骏,动画,2019-06-21,125分钟,4.88亿,"柊瑠美,周冬雨,入野自由",9.3,"['第75届奥斯卡金像奖', '第52届柏林国际电影节', '第75届奥斯卡金像奖', '第52届柏林国际电影节', '第21届香港金像奖', '第15届欧洲电影奖', '第57届英国电影和电视艺术学院奖', '第25届日本电影学院奖', '第28届法国电影凯撒奖', '第30届安妮奖', '第29届土星奖', '第6届英国独立电影奖', '第44届日本电影蓝丝带奖', '第75届日本电影旬报奖', '第67届纽约影评人协会奖', '第26届报知映画赏']",千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。为了救小白，千寻又踏上了她的冒险之旅。
99,海上钢琴师,La leggenda del pianista sull&#39;oceano,朱塞佩·托纳多雷,剧情,2019-11-15,126分钟,1.44亿,"蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",9.3,"['第57届金球奖', '第12届欧洲电影奖', '第57届金球奖', '第12届欧洲电影奖', '第4届北京国际电影节', '第44届意大利大卫奖']",1900年的第一天，往返于欧美两地的邮轮Virginian号上，负责邮轮上添加煤炭的工人丹尼·博德曼 （比尔·努恩饰）在头等舱上欲捡拾有钱人残留下来的事物时，却意外的在钢琴上发现一个被遗弃的新生儿，装在TD牌柠檬的空纸箱内。由于坚信“TD”正代表了Thanks Danny的缩写，于是丹尼不顾其他工人的嘲笑，独立抚育这个婴儿，并为了纪念这特别的一天，将他取名为：1900。海上出生的1900 （蒂姆·罗斯饰），在陆地上却是个从未存在的人，没有亲人、没有户籍，也没有国籍，大海便是他的摇篮，而他也随着Virginian号往返靠泊各个码头，逐渐长大。然而好景不常，一次的海上意外事件，造成抚养1900的丹尼意外丧生，幸而奇迹似的，某天深夜船上的众人被优美的琴声所惊醒，循着琴声而往，居然是无师自通的1900在钢琴前忘我的演奏着，动人的旋律打动了众人，从此，1900展开了在海上弹奏钢琴的旅程，也吸引了愈来愈多慕名而来的旅客。 　　马克斯 （ 普路特·泰勒·文斯 饰）在因缘际会下来到Virginian号加入乐队伴奏，也因此见识到这位传说中的海上钢琴师1900，两人因此结为好友。而1900在与发明爵士乐的传奇钢琴手杰利同船竞技钢琴琴艺之后，声势更是如日中天。但尽管马克斯再三鼓励1900下船去向全世界展露他的天赋，1900却始终未曾踏足陆地一步。直到他在为唱片公司录制个人专辑时，意外见到船舱之外清秀动人的女孩，并在感动之余创作了《1900&#39;s Theme》。随着女孩的下船离去，1900的心开始波动  。
100,美丽人生,La vita è bella,罗伯托·贝尼尼,战争,2020-01-03,116分钟,5981万,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",9.3,"['第71届奥斯卡金像奖', '第51届戛纳电影节', '第71届奥斯卡金像奖', '第51届戛纳电影节', '第50届戛纳电影节', '第11届欧洲电影奖', '第52届英国电影和电视艺术学院奖', '第23届日本电影学院奖', '第21届多伦多国际电影节', '第24届法国电影凯撒奖', '第14届西班牙戈雅奖', '第43届意大利大卫奖', '第21届蒙特利尔国际电影节', '第2届英国独立电影奖', '第42届日本电影蓝丝带奖', '第51届美国导演工会奖', '第5届美国演员工会奖']",犹太青年圭多（罗伯托·贝尼尼 饰）邂逅美丽的女教师朵拉（尼可莱塔·布拉斯基 饰），他彬彬有礼的向多拉鞠躬：“早安！公主！”历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。然而好景不长，法西斯政权下，圭多和儿子被强行送往犹太人集中营。多拉虽没有犹太血统，毅然同行，与丈夫儿子分开关押在一个集中营里。聪明乐天的圭多哄骗儿子这只是一场游戏，奖品就是一辆大坦克，儿子快乐、天真的生活在纳粹的阴霾之中。尽管集中营的生活艰苦寂寞，圭多仍然带给他人很多快乐，他还趁机在纳粹的广播里问候妻子：“早安！公主！”法西斯政权即将倾覆，纳粹的集中营很快就要接受最后的清理，圭多编给儿子的游戏该怎么结束？他们一家能否平安的度过这黑暗的年代呢？
